X,Y,Z,R
533435.83,4840334.46,153.23,250.0
533435.65,4840334.34,153.25,260.0
533435.56,4840334.03,153.64,215.0
533435.56,4840334.17,153.61,250.0
533435.58,4840334.43,153.1,270.0
533435.67,4840333.94,154.05,280.0
533435.55,4840333.61,154.05,180.0
533435.65,4840333.77,153.78,190.0
533435.53,4840333.81,153.64,215.0
533435.43,4840333.9,153.44,250.0
533435.3,4840333.6,153.97,215.0
533435.25,4840333.65,153.82,210.0
533435.23,4840333.62,153.69,240.0
533435.13,4840333.4,153.52,240.0
533435.29,4840333.76,153.31,250.0
533435.13,4840333.51,153.3,260.0
533435.25,4840333.13,153.91,210.0
533435.21,4840333.15,153.79,230.0
533435.17,4840333.2,153.64,240.0
533434.94,4840332.95,154.14,220.0
533434.9,4840332.87,153.96,200.0
533435.06,4840332.96,153.65,210.0
533435.0,4840332.98,153.54,210.0
533434.75,4840332.65,154.25,180.0
533434.64,4840332.7,154.13,200.0
533434.59,4840332.72,153.96,230.0
533434.65,4840332.82,153.74,210.0
533434.77,4840332.85,153.71,210.0
533434.56,4840332.71,153.66,210.0
533434.53,4840332.61,153.62,220.0
533434.69,4840332.65,153.53,220.0
533434.7,4840332.78,153.39,230.0
533434.85,4840332.94,153.38,230.0
533434.82,4840332.29,154.16,160.0
533434.39,4840332.05,154.23,180.0
533434.65,4840332.22,153.89,180.0
533434.51,4840332.16,153.94,200.0
533434.64,4840332.34,153.76,200.0
533434.34,4840332.11,153.75,230.0
533434.55,4840332.26,153.68,200.0
533434.23,4840331.96,153.93,200.0
533434.44,4840332.23,153.49,270.0
533434.02,4840331.72,154.11,210.0
533434.0,4840331.59,153.94,250.0
533434.1,4840331.6,153.61,250.0
533434.24,4840331.61,153.32,290.0
533434.16,4840331.34,153.25,270.0
533434.29,4840331.72,153.11,280.0
533434.15,4840331.6,153.12,250.0
533433.97,4840331.53,154.09,220.0
533433.95,4840331.21,154.14,210.0
533434.04,4840331.04,154.14,190.0
533433.93,4840331.34,153.96,250.0
533434.01,4840331.0,153.98,210.0
533434.06,4840330.88,153.94,210.0
533434.05,4840331.05,153.74,240.0
533434.06,4840330.9,153.69,250.0
533434.07,4840331.11,153.66,280.0
533434.01,4840331.54,153.7,250.0
533434.14,4840331.05,153.47,230.0
533434.18,4840330.97,153.36,300.0
533434.16,4840331.43,153.39,280.0
533434.12,4840330.75,153.83,210.0
533434.12,4840330.61,153.92,200.0
533433.99,4840330.55,153.87,170.0
533433.94,4840330.5,153.83,200.0
533433.96,4840330.53,153.69,250.0
533434.04,4840330.54,153.39,300.0
533434.12,4840330.85,153.29,290.0
533434.04,4840330.74,153.22,340.0
533434.13,4840331.37,153.07,280.0
533433.98,4840330.98,153.05,300.0
533432.25,4840329.68,152.74,290.0
533432.73,4840329.68,152.76,280.0
533432.82,4840329.9,152.74,340.0
533432.6,4840330.11,152.67,360.0
533432.15,4840330.06,152.55,280.0
533432.44,4840330.41,152.54,480.0
533432.88,4840330.76,152.5,590.0
533431.97,4840330.61,152.19,820.0
533433.37,4840331.18,152.5,620.0
533432.65,4840331.2,152.47,650.0
533432.45,4840331.56,152.47,350.0
533433.21,4840331.51,152.51,480.0
533432.87,4840331.67,152.5,530.0
533432.88,4840332.06,152.56,430.0
